Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
111CA,-0.028580117657240223,0.03826356681464471,-0.014610595814593896,-0.02935677026377226,0.007783092040455575,0.049609565851268744,0.011763951151604779,-0.042677305439228874,0.03257615813417525,-0.01461958183095069,-0.04059989074991188,0.06388176938435963,0.004009200126755541,0.02356315251593788,0.08231051351170304,0.0022863093531531042,0.009286776572104305,0.005031772202707563,0.015397754267056918,0.023248482061122733,0.009227141651256598,-0.030645224097654467,-0.09753202777546077,0.07209715818463636,0.09241202599382548,-0.04860248326583627
113FF,0.04274741108645985,0.06131551816206393,-0.08025081877403206,0.023759708078035402,0.03522449052260157,0.011638587669652978,0.03907430601231887,-0.009518685615477196,0.016620240248047757,-0.07128068352796912,-0.030435093898027787,0.015798973191124333,-0.0010653591535687568,0.016037799831902788,-0.01110479170427947,0.020129990066520165,0.01687667430808748,0.014074539578781575,-0.02619560992488168,0.008538062596533003,0.013632519519696018,-0.020653012948217864,0.00040109202220328655,0.00924704511436314,0.01976175017952908,-0.02463210441855246
211,-0.06240902080272681,-0.06210542579406697,0.015138115776910599,-0.02717748177310364,-0.07138660370559968,0.16900527315030844,0.02656136796086006,-0.08936272767106512,-0.12879123062473807,-0.023279584116253194,0.10066753020578334,-0.11092860467421928,-0.0038107049100681856,-0.062455552478628995,-0.08734031907979434,0.01102842876077803,0.041436153344982074,-0.08090879720649546,-0.07063292526471221,0.007679170242556488,0.0037365397983553095,-0.05377572517462559,0.004614926024452792,0.10066338351381843,-0.16163606309057332,-0.045285458864778416
212,-0.07018490658612686,0.008119419053024934,-0.07087567123476246,-0.0663444903238064,0.06318852798855445,-0.04160276197704871,0.07743855188252402,-0.01658568849151676,0.03304289002695571,-0.01439648523246051,-0.005355708896715328,-0.01721944960714339,-0.060481652984870404,0.0235233366275458,-0.0760191709894622,-0.0007186662167701918,-0.03549677723434108,-0.06038144980618698,-0.05447466749667429,0.01814293748225193,-0.05322731063810693,-0.07944380207375756,-0.037692198187636805,0.029276630706351447,-0.006689715296185117,-0.046767158043081736
213,0.04390718200911703,-0.2450988365819864,-0.09135954066880991,0.14836641752737467,-0.028583113857031606,0.0933072496693983,0.22248503425253663,0.10868801217504132,0.24198220499388956,0.15672051149535093,-0.06058478307289672,-0.048161779704726015,-0.22438247819618518,-0.07532364822426718,-0.00137824039099943,-0.02359038996277274,0.1618207392061617,0.2678319889499239,-0.45131246328438124,0.21427842657467977,0.06048785238367316,-0.05006676584043834,-0.21670312545944714,-0.16193391562976878,-0.2200684731326552,0.16990015458585273
22,-0.005852145550652388,0.11437720278546681,0.059596733484317266,0.0943852413250803,-0.2689592131634564,-0.07330530624063636,-0.044028556739891034,0.046050371897969455,-0.055873268984724334,0.038368163021261115,0.0778763015675894,-0.07828080560980188,0.06302912097541435,-0.0184274333282457,-0.009455436470891865,-0.008040892356557361,-0.027142048651333628,-0.05533138884261346,-0.02517893406179894,-0.03701825320343355,0.015490731605983576,-0.006960022436591995,-0.02181967755504699,0.019050595579039875,-0.0015525006115759687,-0.06574819386519337
23,0.11583473361726337,0.020870705040297644,0.07366740107365688,0.04999159425522315,0.046245121105843445,0.01678417087970674,0.04870532182403009,0.02901865307549434,0.011623641301613752,-0.0006288970414778383,0.01662044683337527,-0.021813141735512964,-0.017648824200413138,-0.019437731484635457,-0.020058575420107694,-0.01884606856068194,-0.004079449287247794,-0.015549230433463013,-0.009497907722334276,-0.0225144194356397,-0.03020225779363095,-0.022561983759736393,-0.015681644868856814,-0.02017055465133577,-0.018260941553410515,-0.03475297517795939
311FT,-0.01268262714704771,-0.020973010599886432,-0.011934271307943112,-0.011376002768193949,0.013098279950176428,0.017202431991446998,-0.017730527075613844,-0.020497145367964098,-0.010867876027180312,0.0064475644426751355,0.022247104065461265,-0.008421661580152673,-0.010334867705088069,0.019583251222156317,0.012550287073742394,0.0034931045463366672,-0.027257905309398867,-0.0013240952047226529,-0.007426525894112634,-0.026698188835697634,-0.01376441611342094,-0.015407856369346495,-0.04178103449762749,0.01778239865330189,-0.018930981369098765,-0.01213879694287301
313TT,-0.00558172926910494,-0.04480577868710833,-0.012546292568039963,-0.02293825321712628,0.00034754327166419685,-0.0668577629160696,0.005300357078308338,-0.037864538644127865,-0.06312663712341582,-0.01165893323247591,-0.028298119070316652,-0.058506019499158235,-0.0007665014518662971,-0.025445585907345247,0.01536496412309063,0.024444865750461453,-0.004360577020950274,-0.0253281401104406,-0.004254054267726737,-0.03591842863815842,-0.014250861845818363,-0.017756439106976885,-0.09087286491476299,0.027239822510677136,0.004153251176330031,-0.058589752065756784
315AL,-0.014507202195310764,-0.012610244710349328,0.009736261069231311,-0.014811727143719366,-0.019783239147785014,-0.005449898960618427,-0.0022037087442310366,-0.008374623818103721,-0.007271506410280182,-0.012865180722296365,-0.008981719687392697,-0.0025535308077317964,-0.007971471254243134,0.005730380989882988,-0.03455791577821987,0.004659488383116361,-5.781945011573697e-05,-0.0012923302838725448,-0.00963458457162858,-0.014196551939599011,0.006619414093788301,-0.0031864124052622955,-0.028117085133658293,0.0039665691349970444,0.018522964696580324,-0.019635080154904117
