,sector_0,sector_1,sector_2,sector_3,sector_4,sector_5,sector_6,sector_7,sector_8,sector_9,sector_10,sector_11,sector_12,sector_13,sector_14,sector_15,sector_16,sector_17,sector_18,sector_19,sector_20,sector_21,sector_22,sector_23,sector_24,sector_25,sector_26,sector_27,sector_28,sector_29,sector_30,sector_31,sector_32,sector_33,sector_34,sector_35,sector_36,sector_37,sector_38,sector_39,sector_40,sector_41,sector_42,sector_43,sector_44,sector_45,sector_46,sector_47,sector_48,sector_49,sector_50,sector_51,sector_52,sector_53,sector_54,sector_55,sector_56,sector_57,sector_58,sector_59,sector_60,sector_61,sector_62,sector_63,sector_64,sector_65
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0038643758655554,0.9817276555644495,1.0379812922903513,1.0068486750670937,1.042244291484493,1.0236717024964015,1.0019273505056872,1.00076925163454,1.0046709991339982,0.9966686283652538,0.9939240118847789,0.999723721423805,0.9990107244702267,1.0937229042336485,1.009967474350956,1.0043603996160777,1.0028754851241708,1.0088414473009488,1.0049190644194217,1.006640957779454,1.002783273506209,1.0046639422358052,1.0045383301161077,0.9962399426609525,1.0001604063219072,0.9994358426645045,0.995090970561565,0.9944835617209865,0.9947196326301635,0.9945274608074152,1.0102841378299603,0.9991582522399393,1.0090153872116752,1.0073300208095974,0.9993247727709719,0.9975631081454377,0.9958183269682589,0.9935596882907506,0.9947124213220889,0.9927778632550684,0.9913797948312237,0.99528430423658,0.9939611244274704,0.9938326789692237,0.9953511943818751,0.991874591324777,0.9952186794761415,0.9969388529994317,0.9917262874304732,0.994501654707213,1.0003696362947405,1.0017992661445874,0.9946875613237826,0.9991329627575941,0.9949251685666738,0.9945652561876078,0.9944205127102391,0.994025762990421,0.9939095375594139,0.99329225910705,0.995694617434627,0.995193231558005,0.9957188360315512,0.9946141585628377,0.9959938515704467,0.9964112879607683
8,0.9993365128418356,0.9971971941537927,1.0006796982147077,0.9999862220813044,1.0013796269146302,0.9995365711656797,0.9997423495966763,0.9996205391165122,1.0420910640427727,1.0144791741304466,0.9983940327935193,1.005070858214967,1.000515492832394,1.001203700451642,1.0002351559485791,1.0021187868451065,0.9998557052045269,1.0003652135865748,1.000163764858017,1.0016249237163712,1.0016586779700267,1.0011077717464614,1.0014893961673665,0.9995031869509066,1.00627644956235,1.0013925620706874,0.9987721664593394,0.9988870664920234,0.9988739219784548,1.001987013595772,0.9990602755097547,0.9987928416075502,0.9990986252283938,0.9990509602070943,0.9988275962190984,0.9989317850257563,0.9986297860137661,0.9999721126295315,0.9988244983134649,0.9986131121961781,0.9983885917481312,0.9990419509798785,0.9986677101373802,0.9984910782361909,0.9986430519353938,0.9983699247136272,0.9986310945215564,0.9986181640863127,0.998531248291507,0.9987481744218258,0.9989019361106994,0.9991642381860133,0.9986670500308098,0.9992157767609,0.9987551556243586,0.9989147003000074,0.9988588755697074,0.999580487962262,0.9988590509694518,0.9985469399312082,0.9987913132058965,0.998890681135528,0.9988865304049263,0.9989055877687144,0.9990080884340278,0.9987886800671232
9,0.9997647657379032,0.9994411321323597,1.0001971805539074,1.0000113513992481,1.0003914582278002,0.9998802484828658,0.99989452712732,0.9997456728740112,1.0000657026026623,1.009212062981346,0.9997527012459742,0.9998142051995089,0.9997681887279773,1.0003380304957668,0.9998630147109552,0.9998627206389847,0.9999033074129438,1.00013640834276,1.00007057713602,1.0004526044630655,1.0004831954999922,1.0002866751009025,1.0003684748330333,0.9998673141768774,1.0000517024892428,0.9999987760508138,0.999696785074364,0.9996786608863573,0.9996588599752277,0.9996662556074486,0.9997548453605938,0.9997030206615459,0.9997626992019529,0.9997393754371566,0.9996812362063557,0.9997130374073225,0.9996275005894483,0.9994209018801973,0.9996593530455316,0.9996431282066995,0.9995939698028811,0.999757799653333,0.9996752866417986,0.9996230434107752,0.9996664856746483,0.9995972542790302,0.9996618530811092,0.9996600313236284,0.9996320083513505,0.9996735765470981,0.9997473632693149,0.9997986386734227,0.9996600578095055,0.9998096559006183,0.9996696637077302,0.9996871493886502,0.9996803930623158,0.9996545993710606,0.9996696050359873,0.9996248392706752,0.999675219497089,0.9996709697823672,0.9996708698706979,0.9997139038001793,0.9997165209278234,0.9996872730650193
19,1.0019496179708751,0.9915211485141167,1.0127324596654264,1.0138971355238746,1.0065885204393363,1.0011825110883812,1.0069922858681402,1.0005942862227502,1.004801141866422,0.9994669256497076,0.9981477540528053,0.9999635404968444,1.0029488274896474,1.0111471310591773,1.0035321627509783,1.0042156513938423,1.002117116509893,1.010502377250112,1.0084697871142754,1.0500595472768277,1.0072459171505739,1.0100368536603082,1.0172194632016611,1.0029915424975049,1.0032976066095134,1.002965107354229,0.9974463468817981,0.9976836589906741,0.9974480250340145,0.9971763872030369,0.9994218667850261,0.9982735451040485,0.9997707965181327,0.9992808626186795,0.99743643193501,0.9990294139905378,0.9988833450862062,0.9981434506187024,0.9973313591673547,0.9963680887547566,0.9955696283998399,0.9982570291939807,0.9966023896558374,0.9958550193103131,0.9962298907170726,0.9949577940001889,0.9961850915018912,0.9975473067648759,0.9955425771628238,0.9965494573168786,0.9957872629341679,0.9964563012045402,0.9980305285598442,1.0071059548716663,0.998123165913136,0.9975319184501099,0.9974607886984097,0.9971042219078695,0.9974911771177037,0.9962099964897032,0.9974704785703765,0.9969441164370779,0.9972776652536104,0.999734530047567,0.9992971145251575,0.9980731012086024
20,0.9976418295747017,0.9858690449748121,1.0108602255208785,1.0027365752504793,1.0132764720098335,0.9997118978713087,1.0032366994992328,0.9975024418206409,1.011436663831275,1.0000555624262588,0.9999321210989462,0.9988429158656013,1.0011228196370978,1.0142890757727447,1.0031880585400645,1.003599799047346,1.0013202425247847,1.0077715007383479,1.008608523310745,1.020220555595304,1.0708650028712647,1.0176796998764137,1.0242754390616564,1.0207027497499899,1.0091373439317441,1.0073271017944183,1.0041549522001327,0.9972974131176491,0.9947611709744266,0.9950524560617121,0.9975781279937056,0.9966630561936932,0.998988229687781,0.9967177756439529,0.9946971798967186,0.9970569676759884,0.9929846948055834,0.9914451014373243,0.9955101260824856,0.9961473089011971,0.9906338603966836,1.0122172375234537,1.000205985754701,0.9934902247074512,0.9956770431597345,0.9907066052585436,0.9953773331922234,0.9973118778404385,0.994640707169703,0.9960263441165895,0.9971670121926314,1.0053671010839942,0.9959913442795018,1.0009895071862258,0.9956183012924664,0.9977437410251084,0.9952762929259116,0.9944561179682527,0.994579347022242,0.9916574517380812,0.9954297976261571,0.9955078408469997,0.9953822976040553,0.9978074347409096,0.9967398921668147,0.9962112576723309
21,1.002685095243136,0.99308152247742,1.0036301939653887,1.002344326468226,1.005165779326824,0.9999326328161903,1.0080554477532315,1.0009589996545436,1.0026153501152377,0.9993286003639297,0.9978083016233891,0.9996689944358633,0.9989785717911409,1.0045530150426505,0.9999624148152341,0.9999299330264529,1.0007377679571612,1.0079371507444874,1.0068406023709444,1.0138420955536174,1.006028370585968,1.036464046290432,1.0096194354473562,1.0003498596594331,1.0019065465389134,1.0021252837295782,0.999028070929952,0.9981294175412834,0.9978769352143594,0.997778205194081,0.9985948932785659,0.9985310722448525,0.9989933254705027,0.9986783083961197,0.997724287361169,0.9993312007213125,0.9974485208954779,0.9978847349084936,0.9978539269449948,0.9972513810036467,0.9963508104973791,1.0000989739619572,0.9976241268192165,0.996991050624013,0.9974074107511763,0.9965453946975844,0.997365020171841,0.9981771148258363,0.9968171830358679,0.9982916219573937,0.9988138686621849,0.9982615264342455,0.9976366618767385,1.002355812338507,0.9978132659455816,0.9978222345756335,0.9978398494172338,0.9976080062747996,0.9986716482232034,0.996983239157808,0.9989453540184513,0.9978415267900757,0.9980300314896087,0.999736878534971,1.0002073880266589,0.9984449021568987
22,0.9977584057438338,0.991900983859159,1.00605511388359,1.004817094348818,1.0077132702470872,0.9998000454824495,1.0005829544206177,0.997620048713627,1.004291234698668,0.9995741264964301,1.0029683542864263,1.0025272653884099,0.9986892761914914,1.0076438889012358,0.9994764133609221,0.9999321039788864,1.0027043120213477,1.0045244796904278,1.0028822277236915,1.0145501155020462,1.0093822124128793,1.0071504392923945,1.067237142548041,1.0031015120781652,1.0043665774009227,1.002627449805551,0.9985701244811821,1.0005883427164541,0.9981441861871457,0.9963965777481437,0.9981957996896512,0.997686622687407,0.9996631695502914,1.0021016678253998,0.998504229116996,0.9975605921087355,0.9959143902609832,0.9981467990889237,0.9979952522239659,0.9956804914855003,0.9944850696496773,0.9978689778782293,0.9962358269419073,0.9954178577121741,0.9960083695739161,0.9942415300114369,0.9958799254990193,1.0007385446822976,0.9951925651315251,0.9957675144032908,0.9961342042756088,0.9981242414875978,1.0007983463312644,1.0022306111356172,0.996937223052037,0.996464898726721,0.9966360958438791,0.996105978275295,0.9976641666189806,0.9954707781408253,0.9965930542723778,0.9962895515906911,0.9963956920940763,1.0013015064147948,0.9975306350434804,0.9977114326371326
24,0.9997185587598513,1.0006816583037346,0.9998410993978791,0.9999662458847466,0.9999442184600739,0.9996281327389713,1.0016630276124958,0.999643474892306,1.0001981928816217,0.9994360751318491,1.00317643936227,1.000266292765537,0.9995994300670241,0.9999774230718819,0.9997452890622461,0.999996711077377,0.9995038120260823,1.000383215058211,1.0003175960183641,1.000152608026307,1.0000816079783375,1.0000420371880185,1.0001171064015582,0.9995214545378032,1.0197577438738876,0.9996915884322402,0.9993132825776447,0.9992927753750194,0.9992890574983229,0.9992691753761574,0.999315582550198,0.9996815103483782,0.9993461955729167,0.9993438314024904,0.9991203958162315,0.99947645519914,0.9992420750800373,0.9999460118052881,0.9992657609352454,0.9991335858969745,0.9990602766838472,0.9992846140440989,0.9992198771632698,0.9987269638911864,0.9990651667055697,0.9989610739467849,0.9990602118584857,0.999189477041763,0.9991118769790228,0.9992574328260668,0.9991192157240044,0.9993384905733913,0.9991917177667431,0.9993863900924134,0.999239967671621,0.9992621525925152,0.9992417252813877,0.9992276814878068,0.9992604217924164,0.9991493368173642,0.9992511611222228,0.9992643102757187,0.9992628384584994,0.9991482728456696,1.0019878545950625,0.9993028911667333
25,0.9990903656033736,0.9986035417118361,0.9999739073641541,0.9997511763180432,1.0003418108148607,0.9992127884725411,0.9993977704030639,0.9990472888575255,0.99994229665068,1.0006335512833116,0.9994760658969896,0.9994322709930811,0.9990833849624702,1.0002541109152752,0.9993004824542054,0.9994340531137565,0.999596185780852,1.0001476645470881,0.9999639052999397,1.0013811810808668,1.000527061575577,1.0002274900036017,1.000411246241146,0.999275751049882,0.9997379621501662,1.0182043252359978,0.9992067825647347,0.9988064079742248,0.9987795363276805,0.9987876604050339,0.998955125235443,0.9989253044862038,0.9989635211113249,0.9989578856191592,0.99862124492819,0.9988852140566169,0.9986057517303036,0.9989372970603655,0.998751982321375,0.9986573635120868,0.9985000306436606,0.9988827426832059,0.998670084648494,0.9986573858812648,0.9987157187717726,0.9983201560009605,0.998689951536135,0.9987898573279514,0.9985790591797746,0.9986437716560143,0.9986685777950057,0.9989621613405856,0.9984966212191746,0.9989455280068584,0.9987680521410311,1.0016448589375118,1.0034435091705927,0.9987243001093523,0.9994100139959431,0.9985961536852646,0.9987531995689418,0.9987042705966592,0.9986563120915869,0.9995960950619712,0.998936559907718,0.9986177738539449
