,cobbdouglas,cobbdouglas_closed,main,main_closed,common_theta,common_theta_closed
36,0.9034180595928787,0.9016420212774157,0.8988444308124478,0.895514212782375,0.8950667099583286,0.8905296989746382
37,0.9651227077689065,0.9677804460674565,0.9618469748538541,0.9588591331467178,0.9549194285681065,0.9516796552254086
38,1.1168449681219081,1.1231650302609404,1.1142098293855616,1.1171945635475844,1.1083194062593746,1.111908718514019
39,0.9914433238067504,0.9864961785442806,0.9857967659670251,0.9765864479838481,0.984353216914668,0.974325865195273
40,1.0250528531364969,1.0197582128844525,1.019660256088703,1.0137302231872023,1.010711721723698,1.006949836230774
41,0.9477766397294699,0.9470740131672761,0.9451118940586036,0.9433063988225597,0.939084837040558,0.9364542966551597
42,1.0216714538348708,1.0251582546520919,1.0173513324316208,1.0145325015966924,1.0160185464349,1.0130470711074266
43,0.9728220826043162,0.9757112325270675,0.9700616683523016,0.9704148363894183,0.9683424353759873,0.9677891358647548
44,0.9648841680731525,0.9646671156720283,0.9608552093260632,0.9587435689942434,0.9569716395228559,0.9535274277476185
45,1.0763220518421976,1.0766119525104436,1.0714414192017,1.0703466315809105,1.0660942810384182,1.0657416691460189
46,0.9919456554044551,0.9912925862367781,0.9873869913978901,0.9872039598563612,0.9853903195328135,0.9851264859334637
47,1.0242690185921692,1.025374323788749,1.022083251201765,1.0228918484387122,1.0180185651826934,1.0189222743486384
48,0.983609564916717,0.9830856974867278,0.9801918075814045,0.9791002797200212,0.9786087690877051,0.977653553509266
49,0.9647451907254192,0.963748911003752,0.9596617436871929,0.9567845735590811,0.9569717585337215,0.9538193221745026
50,0.9903470094343751,0.9926268246423292,0.9882953796659351,0.9884491367421677,0.9882237197618533,0.9879935739428142
51,0.9708192864642363,0.9658751597703048,0.9672092091283742,0.9613937506089396,0.9603060454403565,0.9534852261405934
52,1.0185162543154305,1.020708740385988,1.0145069641948319,1.0164028284765523,1.0137219952603502,1.0157998115184366
53,1.0216292342478401,1.022277228629416,1.0197642726917842,1.0163970208643511,1.0191483878201637,1.01510513582498
54,1.0528723447580233,1.0536424247692062,1.0476498561644152,1.0460193184694049,1.0470790436479644,1.0447057002622318
55,0.9871706898219552,0.9828486820262464,0.9816812049725683,0.9766577401852827,0.9758106233989864,0.9702240078704714
56,0.9560619981229008,0.9494811432176203,0.9501697594102394,0.9424321989757526,0.9496393872587268,0.9431486039507065
57,0.9683047001944384,0.9719555031527052,0.9642218095594722,0.963886708609315,0.9629416454940911,0.9620037495757463
58,0.9678041932800485,0.9683750138036208,0.96249411913056,0.9580895931168327,0.9619649284556214,0.9575216099746499
59,0.9974731531060183,1.0009275686312171,0.9937025106610281,0.9936363852469488,0.9904968706766946,0.9903138655850822
60,1.0104631356048535,1.0069411664270471,1.0039429213724258,1.0006938809941621,1.0015686950740461,0.9975722558601708
61,0.9673374225022631,0.9664480619352325,0.9617338805673694,0.9604885332248306,0.9603474202440058,0.959696626811606
62,1.0008666040000906,0.9960996795994668,0.9936273357700414,0.9868522208879422,0.9903295209430563,0.9837771223146061
63,0.932815777095266,0.922071010020608,0.9250136220726556,0.9110544563169196,0.9224964026126184,0.9089219017287717
64,1.0401066488404018,1.0475216990157994,1.0382433505579232,1.0407335503603312,1.035797917282416,1.0379869942681013
65,0.9817623872312328,0.9851012261770887,0.9786588417569303,0.9793875874337187,0.9783831250542326,0.9785332704465133
66,1.0080603928790115,1.0139595076490402,1.0019522402390946,1.002543344285295,0.9976634253829085,0.998277177997431
67,0.9385276942519689,0.9353535522737498,0.9333547466787594,0.9284440854154576,0.927760962262144,0.9217415355823826
68,0.946961349420239,0.9420506727281555,0.9419699391629561,0.9370336879125323,0.9378045694274202,0.9319418643336278
69,1.0064487200004373,1.0049955442015932,1.000471673827145,0.9979664191320681,0.9992772474749531,0.9962724778996678
70,0.9013616050076064,0.9031191490816948,0.8945792452011724,0.8940160170828085,0.8732743888673233,0.8710991248612074
71,0.9391438415142837,0.9365243073648953,0.9346635091330191,0.9321429904403484,0.9282324356419829,0.9252098994130065
72,1.0041029073918313,1.0038144064278869,1.000393694599977,0.9988573498178852,0.9873982552252293,0.9855677304274232
73,0.92730210329063,0.9231220294825891,0.919810650246492,0.9146602771169805,0.9149079515213812,0.9097802132898153
74,1.0055804562094237,1.012971801228154,1.0011234180522601,1.003691758901259,0.9907641451443543,0.9916850333897662
75,0.9291316534519382,0.9240444116943025,0.9235196528233782,0.9132297247532856,0.9228638386641635,0.9118161356222886
76,0.9431202716042464,0.944537358538994,0.9388173849934155,0.9376490000001284,0.9277978299939442,0.9255133310478078
77,1.001804471388643,1.0040994545944943,0.9979649059477407,0.9984833823980601,0.9948461116713302,0.994981072619317
78,0.9706141124987081,0.9752741373949567,0.9679463676102086,0.9702314897502015,0.9658479520537939,0.96658027820463
79,1.0173294948663782,1.0210221761096743,1.0148721772940477,1.016127810869906,1.0132585788569486,1.0149569852526807
80,1.0198874545119732,1.0231123412976757,1.014625932760645,1.0156151243655063,1.009664967141481,1.0108703856513528
81,1.0194611900142414,1.021844221146806,1.0157502991224487,1.0168246854277332,1.0095875555192706,1.0101880851098088
82,0.9815203949700295,0.9774266850172728,0.9743121137907648,0.9678357375050123,0.9717964211258611,0.965113799650504
83,0.9584718832830895,0.9578286487297079,0.9539158278205365,0.9526709097948145,0.9520329083604165,0.9494607831492479
84,1.0351416972689569,1.0351202524319405,1.031860720106628,1.029720254891737,1.0276187524040679,1.0249117411299102
85,1.0400833282881392,1.0433497078636418,1.0362855997758935,1.0356024381735847,1.0355237318779467,1.0347870687563083
86,0.9800467508145645,0.9840630145445824,0.97567635944088,0.9759664371983559,0.9709547823453707,0.9696331693360591
87,1.0522683776294617,1.053568945621956,1.0492500878049902,1.0460687440941754,1.0487293559464836,1.0438743355272826
88,0.9660709475598774,0.9685182918157501,0.9602968461897156,0.9612150725632067,0.9534517538051748,0.9530129960097689
89,1.037602373759683,1.0374930974840932,1.0338559495229998,1.0331577199557507,1.0313412801194812,1.0305996010504423
90,0.9706839762753563,0.9546116716178706,0.946603120803196,0.92371789535238,0.9317278130221615,0.9139563676403883
91,0.9716038200155246,0.9733659321217165,0.9693965048018979,0.9707870311835708,0.967301750819459,0.9682340978420358
92,0.9818325744038349,0.9701881800313849,0.9675318592686182,0.9522091039503026,0.9576103078043178,0.9448615691796274
