j,gamma_j,se_robust,t_stat,model
211,2.557409964467831,1.1552717426566284,2.2136869361894784,main
313TT,99.99997358437167,9952.557127246135,0.01004766637416344,main
315AL,1.2429573393438296,0.13720956886373273,9.058824028360958,main
333,2.3377952045629233,5.289331178208232,0.44198314036272063,main
334,99.99996275397544,8147.481737544977,0.012273726529899253,main
335,99.99996355229688,27537.599424772157,0.0036313972764938736,main
3361MV,99.9999633365441,18579.669719658257,0.005382225025816198,main
337,99.9999616389307,14200.476970593118,0.007042014282056468,main
339,1.351417606112198,0.222142375901659,6.0835651038073975,main
common,99.9999995673571,5385.798415608027,0.01856734913760556,commontheta
common,1.4482691498291598,0.18416823731433601,7.863837819967144,commongamma
