i,theta_i,se_robust,t_stat,model
623,0.1693846840761376,0.12919897775859815,1.3110373395726431,nogamma_i-specific
624,0.8443158729588617,0.33483221013524495,2.5216088757345863,nogamma_i-specific
711AS,0.5437343161156223,0.3051727099050905,1.7817265386696113,nogamma_i-specific
713,0.1528737693806873,0.092430999232406,1.6539231497033333,nogamma_i-specific
721,0.10814517195490324,0.12483309506843215,0.8663181177685231,nogamma_i-specific
722,0.23653607377656444,0.08636112045109469,2.7389185381228596,nogamma_i-specific
81,0.11838805558537517,0.08902102477172422,1.3298887076278503,nogamma_i-specific
HS,2.2424641844105735,0.7409099158583363,3.0266354065631615,nogamma_i-specific
ORE,3.1316080130548013e-09,0.26822369656980316,1.1675359235979452e-08,nogamma_i-specific
common,0.2383794559973509,0.02102054339063375,11.340308933382143,nogamma_common
